"콘텐츠ID","전화번호","운영시간","위도","경도","이름","주소","외국어안내","소개"
"1","051-743-2322","09:00~10:00","35.156017","129.18184","-","-","-","-"
"2","051-522-0303","09:00~18:00","35.20319","129.08539","동래구관광안내소","부산광역시 동래구 명륜로112번길 46","중국어 안내 가능","동래구관광안내소 운영시간 : 3월 ~ 10월"
"3","051-231-0252","09:00~18:00(3~10월)","35.076805","129.01797","서구 관광안내소","서구 송도해변로 100(송도해수욕장)","영어, 중국어 가능","송도해수욕장"
"4","051-254-5504","10:00 ~ 19:00","35.09725","129.03569","중구관광안내소","부산광역시 중구 태종로 8(남포동1가)","영어, 일어, 중국어 가능","2015.5월 개소한 중구관광안내소는 영도대교 입구에 위치하고 있으며, 영어, 일본어,중국어 통역가능한 자원봉사자가 방문관광객에게 관광정보 및 관광앤내 서비스를 제공합니다."
"5","051-419-4048","09:00 ~ 18:00","35.094585","129.03874","영도관광안내센터","부산광역시 영도구 봉래나루로 79(봉래동1가)","영어,중국어,몽골어 가능","영도대교 옆에 자리한 관광안내소로 영도대교의 도개하는 모습을 본뜬 독특한 형태의 건축물로 각광받고 있는 부산의 핫 플레이스입니다. 층별 현황을 보면 1층은 관광안내, 관광기념품 판매, 문화관광해설 등 관광객을 위한 서비스 제공을 담당하고, 2층은 영도의 100년 전 모습을 담은 영도 근대역사 전시실, 3층은 지역작가들의 작품을 전시하는 봉래물양장갤러리, 야외 전망대 및 포토존으로 구성되어 있습니다."
"6","051-204-1444","09:00 ~ 18:00","35.097443","129.01062","감천문화마을 안내센터","부산시 사하구 감내2로 203","-","감천문화마을 안내센터"
"7","051-607-6395","09:00 ~ 18:00","35.101543","129.12305","오륙도 해파랑길 관광안내소","부산광역시 남구 오륙도로 137","영어, 일어, 중국어","남구 오륙도에서 출발하여 강원도 고성군 통일전망대까지 동해안의 해변길, 숲길, 마을길, 해안도로 등 770.9km를 잇는 국내 최장의 탐방로의 시작점에 위치한 해파랑길 관광안내소는 2013년 2월 1일에 개소하여, 남구의 각종 관광정보를 제공하고 관광안내지도와 여러 지자체의 각종 홍보물을 비치하며 영어, 일본어, 중국어 관광안내서비스를 제공하고 있습니다"
"8","051-610-4848","09:00 ~ 18:00","35.153805","129.11867","-","-","-","-"
"9","051- 441-3121","Mon-Fri, 09:00~18:00","35.113823","129.0382","부산외국인서비스센터","부산광역시 동구 대영로243번길 38","영어, 일어, 중국어","부산 차이나타운 거리에 위치한 부산관광안내소로서, 내·외국인들에게 무료 와이파이존, 스마트기기 충전, PC 검색 등 다양한 서비스 및 부산의 관광지도, 가이드북 등 다양한 홍보물을 비치하여 부산여행에 알찬 정보를 제공하고 있습니다.  ※운영일: 월요일 ~ 금요일"
"10","051-973-4607","09:00 ~ 18:00","35.17301","128.9469","김해공항관광안내소(국내선)","부산 강서구 대저2동 공항진입로 108","영어, 일본어, 중국어","김해국제공항 국내선 1층에 위치한 부산관광안내소로 내·외국인들에게 부산의 관광안내지도, 맛집소개, 가이드북 등 다양한 홍보물을 비치하여 관광객들에게 부산의 관광정보 제공를 연중무휴로 운영하고 있습니다"
"11","051-502-7399","09:00 ~ 18:00","35.284897","129.09575","부산 종합버스터미널 관광안내소(노포동)","부산광역시 금정구 중앙대로 2238","영어, 일본어, 러시아어","금정구 노포동 종합버스터미널(2층)에 위한 관광안내소로서, 관광 지도 및 책자 제공뿐만 아니라, 내·외국인 여행안내, 부산의 관광지 포토존 설치로 부산방문의 추억의 한 장을 남길 수 있도록 인화 서비스도 제공하고 있습니다. <p style=""text-align:center;"" ><img src=""/upload_data/board_data/BBS_0000014/161845550071272.jpg"" alt=""관광안내소 추가 이미지"" style=""max-width:1000px;height:auto;width:100%""/><br/><br/></p>"
"12","051-749-5800","09:00 ~ 18:00","35.179386","129.19966","송정관광안내소","부산광역시 해운대구 송정해변로 62","영어, 일본어","송정에 위치한 관광안내소로 송정을 방문한 관광객들을위한 교통, 숙박, 맛집에 관한 정보를 제공해주고있다"
"13","051-749-5710","09:00 ~ 18:00","35.157677","129.18254","달맞이길 관광안내소","부산광역시 해운대구 달맞이길 190","-","달맞이길에 위치한 관광안내소전통가옥의 모습을 하고 있어 달맞이길을 방문한외국관광객과 타지 관광객들이 눈길을 끌고 있다."
"14","051-465-3471","Temporarily Closed","35.11781","129.04964","부산항 국제여객터미널관광안내소","부산광역시 동구 충장대로 206 (2층 2A19호)","일본어, 영어, 중국어","부산항 국제여객부두터미널 입국장(2층)에 위치하고 있으며, 연중무휴로 운영되며, 내·외국인 부산관광 정보안내, 무료 와이파이존, 스마트기기 충전, PC 검색 등 다양한 서비스 및 부산의 다양한 홍보물을 비치하여 부산여행에 알찬 정보를 제공하고 있습니다. ※ 코로나19로 인한 국제여객노선 잠정중단으로 관광안내소 임시휴무중"
"15","051-973-2800","Thursday 09:00~18:00","35.173313","128.947","김해공항관광안내소(국제선)","부산시 강서구 대저2동 공항진입로 108","영어, 일본어, 중국어","김해국제공항 국제선 1층에 위치하고 있으며 연중무휴로 부산을 방문하고 있는 내·외국인들에게 부산의 관광정보를 제공하고 있습니다. 또한 부산관광안내지도, 맛집소개, 가이드북 등 다양한 부산여행 홍보물을 비치하여 관광객들의 관광안내에 최선을 다하고 있습니다.  ※ 현재 목요일만 운영 중입니다."
