"콘텐츠ID","콘텐츠명","구군","위도","경도","장소","제목","부제목","주소","주소 기타 ","연락처","홈페이지","운영 및 시간","대표메뉴","이미지URL","썸네일이미지URL","상세내용"
"70","만드리곤드레밥","강서구","35.177387","128.95245","만드리곤드레밥","만드리곤드레밥","-","강서구 공항앞길 85번길 13","-","051-941-3669","-","11:00a.m. ~ 21:00p.m.","돌솥곤드레정식, 호박오리훈제","https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_thumbL","곤드레밥에는 일반적으로 건조 곤드레나물이 사용되는데, 이 곳은 생 곤드레나물을 사용하여 돌솥밥을 만든다. 된장찌개와 함께 열 가지가 넘는 반찬이 제공되는 돌솥곤드레정식이 인기 있다."
"72","만호갈미 샤브샤브","강서구","35.101425","128.92914","만호갈미 샤브샤브","만호갈미 샤브샤브","-","강서구 르노삼성대로 602","-","051-271-4389","-","12:00p.m. ~ 21:30p.m.","갈미샤브샤브, 갈미수육","https://www.visitbusan.net/uploadImgs/files/cntnts/20191216135832825_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191216135832825_thumbL","샤브샤브, 수육, 구이 등 다양한 방식으로 갈미조개를 요리하는 갈미조개 전문 식당. 국물이 맛있기로 유명한 이 곳은 갈미샤브샤브와 갈미수육이 대표메뉴이다."
"77","민물가든","강서구","35.16055","128.89468","민물가든","민물가든","-","강서구 둔치중앙길5(봉림동)","-","051-971-8428","https://blog.naver.com/rladba1","11:00a.m. ~ 22:00p.m.","묵은지붕어조림, 붕어찜","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_thumbL","30년간 운영해온 생선찜전문점으로, 전통방식인 나무통을 사용하여 조리하는 것이 특징이다. 20가지 이상의 재료로 만든 양념을 사용하는 이 곳은 묵은지 붕어조림과 붕어찜이 대표메뉴이다."
"80","소희네집","강서구","35.012413","128.82826","소희네집","소희네집","-","강서구 가덕해안로1208번길 2-12","-","051-971-8886","-","11:30a.m. ~ 14:00p.m.","해산물정식(4인분), 광어회","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217103310691_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217103310691_thumbL","계절별로 다른 재료로 요리하는 해물정식 식당으로, 제철 해산물을 먹을 수 있는 곳이지만, 4인분씩만 주문을 받고 점심시간만 운영하는 등 여러 가지 제약이 있다. 이 곳을 찾을 계획이 있다면 예약이 필수이다."
"90","에프앰커피하우스","부산진구","35.154644","129.06377","에프앰커피하우스","에프앰커피하우스","-","부산 부산진구 전포대로 199번길 26","-","051-803-0926","http://www.fmcoffeehouse.com/","am 09:30 ~ pm 22:30","투모로우 오리지널, 투모로우 모카","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819103100776_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819103100776_thumbL","부산의 대표적인 카페거리 전포동카페거리에서 가장 오래된 카페인 이 곳은 로스팅을 주력으로 하여, 커피가 맛있기로 명성이 높은 곳이다. 콜드브루에 생크림을 얹은 대표커피 투모로우 커피는 완벽한 밸런스의 커피 맛을 자랑한다."
"94","가야할매밀면","연제구","35.185196","129.07988","가야할매밀면","가야할매밀면","가야할매밀면","부산 연제구 월드컵대로 145번길 32","-","051-865-8017","-","11:00a.m. ~ 20:00p.m.","물 밀면, 비빔밀면","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_thumbL","부산의 향토음식인 밀면전문점으로, 밀가루에 옥수수 전분을 섞어, 다른 밀면전문점들보다더 탄력있는 면이 특징이다. 육수는 돼지뼈와 소뼈에 각종 야채와 여러 한약재를 섞어 만들 고, 사이드 메뉴인 만두도 인기 있다."
"95","국제밀면","연제구","35.19689","129.07785","국제밀면","국제밀면","국제밀면","부산 연제구 중앙대로 1235번길 23-6","-","051-501-5507","-","10:00a.m. ~ 20:00p.m.","물밀면, 비빔밀면","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217202633906_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191217202633906_thumbL","부산의 수많은 밀면전문점 중에서도 가장 유명한 식당 중 한 곳으로, 소 사골만을 사용한 육수 등 독창적인 방식의 밀면을 만들고 있다. 보통 기계로 잘려진 편육이 고명으로 올려지 는데, 이 곳은 손으로 일일이 얇게 찢은 양지머리 고기가 올려지는 것이 특징이다."
"102","할매가야밀면","중구","35.098927","129.03125","할매가야밀면","할매가야밀면","-","부산 중구 광복로 56-14","-","051-246-3314","-","10:30a.m. ~ 21:30p.m.","밀면, 비빔밀면","https://www.visitbusan.net/uploadImgs/files/cntnts/20191218003259322_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20191218003259322_thumbL","광복로패션거리의 골목에 위치한 밀면전문점으로, 식사시간에는 항상 긴줄이 늘어서 있는 유명한 식당이다. 간편하게 먹을 수 있는 밀면의 특성과 넓은 매장으로 인해 대기줄이 길지 만, 웨이팅 시간은 짧은 편. 항상 청결하게 관리되는 매장이 인상적이다."
"105","정동진해물탕","부산진구","35.16046","129.05547","정동진해물탕","정동진해물탕","-","부산 부산진구 서면문화로 37","-","051-809-8208","-","am 11:00 ~ pm 23:00","해물찜, 해물탕","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819153940223_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200819153940223_thumbL","해물탕전문점 중 최대급 규모인 이 곳은 식약청 인증과, 위생등급 최고등급을 받을 정도로 철저하게 위생관리를 하고 있는 식당이다. 대표메뉴인 해물탕과 해물찜은 신선한 재료들과 가장 큰 크기의 꽃게와 새우를 사용하여 만들고 있다."
"111","고고커피","금정구","35.243614","129.09377","고고커피","고고커피","-","금정구 중앙대로1784(부곡동)","-","1544-7355","http://gogocoffee.co.kr","09:00a.m. ~ 18:00p.m.","에티오피아, 부오노드립포트","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818112123234_ttiel","https://www.visitbusan.net/uploadImgs/files/cntnts/20200818112123234_thumbL","고고커피는 커피에 대한 모든 것들을 취급하는 커피 전문 마켓으로, 식자재, 카페용품, 커피머신 등이 진열되어 있어 커피에 관심이 많은 사람이라면 무척 즐거운 시간을 보낼 수있을 것이다."
